100,100
29.55,83.23,K
20.42,51.82,K
25.96,53.01,K
27.60,43.48,K
21.69,40.52,K
8.05,64.91,K
11.72,61.42,K
16.76,41.84,K
6.18,24.51,K
15.47,68.43,K
10.32,69.35,K
14.76,20.62,K
12.24,6.88,K
17.33,61.75,C
25.44,83.07,C
4.64,61.88,C
2.08,40.85,C
3.78,25.69,C
28.20,14.25,C
23.13,93.31,C
2.91,16.84,C
25.93,91.38,C
6.15,36.56,C
19.96,60.31,C
10.27,50.86,C
22.93,17.44,C
27.29,21.93,P
29.04,28.62,P
25.49,78.51,P
17.47,18.47,P
17.04,92.34,P
28.22,86.88,P
10.46,19.67,P
7.18,77.29,P
23.06,85.63,P
23.66,50.70,P
22.55,61.26,P
14.82,7.36,P
19.05,8.31,P
15.31,14.11,L
9.99,85.97,L
14.24,17.69,L
14.30,53.02,L
3.35,54.98,L
12.73,33.80,L
26.10,61.24,L
10.94,44.72,L
16.59,76.49,L
23.00,44.79,L
6.56,17.28,L
26.57,75.16,L
19.47,22.04,L
