100,100
2,30,C
2,54,C
2,74,C
4,10,C
4,18,C
4,38,C
4,56,C
4,74,C
4,84,C
6,26,C
6,36,C
6,68,C
8,60,C
8,78,C
10,8,C
10,12,C
10,14,C
10,22,C
10,54,C
14,6,C
14,14,C
14,98,C
16,14,C
16,46,C
18,14,C
18,32,C
18,34,C
18,90,C
20,22,C
20,50,C
20,80,C
20,84,C
20,90,C
22,58,C
22,94,C
24,36,C
24,42,C
26,2,C
26,26,C
26,46,C
26,56,C
28,22,C
28,74,C
28,86,C
30,22,C
30,30,C
30,46,C
30,82,C
32,48,C
32,66,C
32,98,C
36,30,C
36,60,C
36,74,C
36,84,C
38,8,C
38,56,C
38,92,C
40,52,C
42,20,C
42,52,C
44,68,C
46,4,C
48,18,C
48,22,C
50,24,C
50,26,C
50,34,C
50,66,C
50,70,C
50,94,C
52,20,C
52,28,C
52,30,C
52,46,C
52,56,C
52,72,C
52,86,C
54,4,C
54,44,C
54,62,C
56,8,C
56,20,C
56,62,C
56,68,C
56,84,C
58,2,C
58,22,C
58,30,C
58,32,C
58,62,C
58,82,C
60,10,C
60,12,C
60,68,C
60,78,C
60,80,C
62,10,C
62,12,C
62,36,C
62,52,C
62,56,C
64,6,C
66,2,C
66,6,C
66,82,C
66,86,C
68,6,C
68,40,C
68,52,C
68,58,C
68,62,C
70,2,C
70,70,C
70,74,C
70,86,C
70,90,C
72,2,C
72,10,C
72,30,C
72,34,C
72,58,C
72,64,C
72,80,C
72,84,C
72,86,C
72,94,C
74,10,C
74,16,C
74,34,C
74,36,C
74,64,C
74,80,C
74,90,C
76,28,C
76,38,C
76,84,C
76,94,C
78,30,C
78,56,C
78,58,C
78,70,C
78,96,C
80,10,C
80,36,C
80,40,C
80,90,C
82,16,C
82,20,C
82,32,C
82,38,C
82,42,C
82,46,C
82,72,C
82,76,C
82,98,C
84,12,C
84,18,C
84,34,C
84,50,C
84,60,C
84,72,C
84,76,C
84,96,C
86,4,C
86,30,C
86,50,C
86,54,C
86,64,C
86,96,C
86,98,C
88,6,C
88,70,C
88,84,C
88,96,C
90,14,C
90,22,C
90,44,C
90,68,C
92,12,C
92,32,C
92,78,C
94,16,C
94,18,C
94,58,C
94,64,C
96,16,C
96,30,C
96,46,C
96,48,C
96,64,C
96,78,C
96,96,C
98,2,C
98,4,C
98,26,C
98,32,C
98,36,C
