100,100
2,44,K
4,88,K
6,34,K
8,56,K
8,58,K
10,6,K
10,54,K
12,76,K
12,78,K
12,84,K
18,98,K
20,12,K
20,44,K
20,64,K
20,84,K
22,16,K
22,22,K
26,12,K
26,14,K
32,0,K
32,26,K
32,30,K
34,76,K
36,24,K
38,68,K
42,26,K
44,14,K
44,76,K
46,54,K
50,44,K
50,48,K
50,68,K
52,22,K
52,42,K
52,56,K
52,62,K
52,64,K
52,92,K
54,6,K
54,32,K
54,44,K
54,56,K
56,86,K
58,72,K
60,74,K
60,76,K
60,78,K
60,80,K
62,66,K
64,38,K
66,40,K
68,40,K
68,72,K
72,20,K
72,36,K
74,24,K
74,82,K
76,16,K
76,34,K
76,56,K
78,76,K
80,40,K
80,66,K
82,12,K
82,14,K
82,44,K
82,98,K
84,26,K
86,82,K
86,92,K
88,30,K
88,42,K
92,8,K
92,10,K
92,36,K
92,38,K
92,56,K
92,62,K
94,66,K
96,32,K
96,56,K
98,24,K
98,34,K
98,58,K
98,82,K
